12.12776649 0.00000000 -0.00117028 
0.00000000 4.05070973 0.00000000 
-2.09132204 0.00000000 7.34450260 
26 # xyz2xyz{/tmp/x2p.pea.28997 XYZ.cont -hc 1.2000}
  0.40656345   0.00000000   0.46062296  13  1 Al1-Al1 dr=0.0075
  0.90492903   0.50000000   0.45829454  13  1 Al1-Al1 dr=0.0260
  0.04504265   0.00000000   0.37279829  13  2 Al2-Al2 dr=0.0117
  0.54370232   0.50000000   0.36859343  13  2 Al2-Al2 dr=0.0221
  0.81985193   0.00000000   0.86397360  13  3 Al3-Al3 dr=0.0285
  0.32226221   0.50000000   0.86495136  13  3 Al3-Al3 dr=0.0251
  0.22834761   0.00000000   0.65433355  13  4 Al4-Al4 dr=0.0229
  0.72845195   0.50000000   0.65343935  13  4 Al4-Al4 dr=0.0236
  0.22207628   0.00000000   0.17912011  13  5 Al5-Al5 dr=0.0269
  0.71909283   0.50000000   0.17532218  13  5 Al5-Al5 dr=0.0389
  0.02479199   0.00000000   0.72667595  13  6 Al6-Al6 dr=0.0365
  0.52699291   0.50000000   0.73152139  13  6 Al6-Al6 dr=0.0711
  0.43044966   0.00000000   0.10932587  13  7 Al7-Al7 dr=0.0338
  0.92532001   0.50000000   0.10713840  13  7 Al7-Al7 dr=0.0273
  0.62643440   0.00000000   0.97233721  13  8 Al8-Al8 dr=0.0416
  0.12994554   0.50000000   0.97043122  13  8 Al8-Al8 dr=0.0087
  0.72517203   0.00000000   0.41600205  13  9 Al9-Al9 dr=0.0092
  0.22585642   0.50000000   0.41850695  13  9 Al9-Al9 dr=0.0127
  0.01934080   0.00000000   0.04279767  28 10 Co1-Co1 dr=0.0107
  0.51858052   0.50000000   0.04224537  27 10 Co1-Co1 dr=0.0107
  0.61162192   0.00000000   0.62530677  27 11 Co2-Co2 dr=0.0044
  0.11164799   0.50000000   0.62661695  27 11 Co2-Co2 dr=0.0057
  0.83993193   0.00000000   0.20853496  27 12 Co3-Co3 dr=0.0135
  0.33770702   0.50000000   0.20729080  27 12 Co3-Co3 dr=0.0128
  0.42915774   0.00000000   0.78745870  28 13 Co4-Co4 dr=0.0299
  0.93052887   0.50000000   0.79016037  28 13 Co4-Co4 dr=0.0144
